,nome,cpf,idade,data,endereco,estado,pais
0,Cauã Pires,750.613.924-34,51,12/02/1975,"Área Amanda Moraes
Camargos
99399-098 Ramos dos Dourados / BA",Tocantins,Brasil
1,Dra. Isabella Pinto,827.431.596-00,55,23/01/1971,"Alameda da Cruz, 46
Lindéia
94091-601 Araújo / SE",Acre,Brasil
2,Bella Pereira,502.136.498-70,37,17/06/1988,"Esplanada de Machado, 408
Universo
55240-091 Fonseca das Pedras / MS",São Paulo,Brasil
3,Théo Cunha,495.617.382-28,20,18/11/2005,"Trevo de Novais, 60
Outro
57226-228 Azevedo / RS",Santa Catarina,Brasil
4,Maria Luísa Fernandes,194.708.632-40,28,04/03/1998,"Colônia de Cirino
Cônego Pinheiro 2ª Seção
25940-517 Casa Grande / CE",Piauí,Brasil
5,Srta. Luara Correia,651.734.209-52,59,24/10/1966,"Trevo Monteiro, 97
Santa Rosa
23407-574 Alves / AM",Rondônia,Brasil
6,Thomas Farias,843.692.751-64,30,07/06/1996,"Conjunto Ayla Brito, 37
Funcionários
53648-406 Teixeira de Oliveira / SE",Amapá,Brasil
7,Melina Mendes,619.374.802-40,50,04/11/1975,"Morro de Novais, 74
Vila Santa Monica 2ª Seção
49779-598 Leão do Amparo / MA",Pará,Brasil
8,Luara Sampaio,352.417.068-44,51,28/01/1975,"Vale Vargas, 28
Alto Dos Pinheiros
16219979 Mendes da Serra / MS",Goiás,Brasil
9,Cecília Nogueira,152.346.790-80,23,04/07/2002,"Rodovia Clarice Dias, 3
Conjunto Minas Caixa
75669886 Silveira da Mata / AP",Pernambuco,Brasil
