nome,endereco,estado,cpf,data,idade
Sr. Vitor Gabriel Silva,"trevo emanuel silva, 482
vila tirol
47847085 pereira / ap",RONDÔNIA,640.719.385-01,1933-12-06,90
Calebe Santos,"recanto moraes, 7
ernesto nascimento
96497-621 da rosa / pb",RIO DE JANEIRO,651.297.384-46,1984-03-06,40
Maria Julia Castro,"residencial de pereira, 20
jatobá
62127-165 gomes de santos / al",PERNAMBUCO,164.750.293-43,1947-04-12,76
Arthur Da Rosa,"parque almeida, 66
vila suzana segunda seção
09805-686 santos / se",SANTA CATARINA,085.167.249-30,1970-04-16,53
Juan Pereira,"rodovia de pereira, 51
estrela
44830637 mendes de moraes / ba",RIO DE JANEIRO,520.876.319-21,1955-10-25,68
Dra. Ana Laura Ribeiro,"esplanada lavínia ramos
são francisco
39467-536 da mata / sp",DISTRITO FEDERAL,210.764.589-20,1954-05-09,69
Maria Clara Araújo,"praça cavalcanti, 65
conjunto celso machado
97788-105 vieira / ro",PARANÁ,960.342.175-80,1983-03-14,41
Vitória Oliveira,"esplanada monteiro, 88
conjunto paulo vi
06403-281 moraes / go",RORAIMA,302.568.479-83,1993-03-10,31
Benjamin Oliveira,"ladeira monteiro, 57
vila primeiro de maio
76835-491 moura dos dourados / ce",ACRE,451.896.703-84,1974-05-16,49
Pietro Barros,"recanto luiz miguel jesus, 35
vila aeroporto jaraguá
50536-588 oliveira de goiás / pb",MINAS GERAIS,843.095.172-50,1972-08-19,51
Samuel Cavalcanti,"ladeira de porto, 38
nova america
91782042 barros de da mata / to",RORAIMA,520.679.841-01,1934-11-26,89
Ian Da Costa,"via de jesus, 57
vila da amizade
93849-206 correia / pb",GOIÁS,384.172.609-78,2001-01-21,23
Dr. Emanuel Costa,"lago castro, 94
mariano de abreu
24415-900 porto / rj",GOIÁS,736.581.942-19,1969-03-09,55
Larissa Da Cruz,"setor isadora da rosa, 583
chácara leonina
20125668 teixeira / rr",MATO GROSSO DO SUL,128.953.704-60,1940-11-22,83
Diogo Carvalho,"viaduto pedro lucas cavalcanti, 49
tiradentes
27653-901 rezende / rs",MARANHÃO,078.153.294-97,1941-03-10,83
Sr. Anthony Almeida,"rua vitor hugo pinto, 21
anchieta
08712074 ramos / rj",BAHIA,305.184.962-60,1987-02-03,37
Clara Martins,"rodovia aragão, 245
conjunto lagoa
61224-422 pinto / mg",BAHIA,397.201.856-86,1947-03-14,77
Dr. Luiz Felipe Cardoso,"alameda de lima, 65
boa esperança
49621639 fernandes de moraes / pe",AMAPÁ,374.691.850-20,1954-07-20,69
Sr. Calebe Lopes,"trecho lucas sales, 24
dom bosco
09228582 da cunha alegre / ro",CEARÁ,135.796.802-77,1961-10-19,62
Miguel Monteiro,"passarela igor novaes, 89
pompéia
32670-098 martins / se",ACRE,097.521.834-41,1969-06-27,54
Srta. Catarina Da Mata,"sítio luna carvalho, 98
novo santa cecilia
32066-338 nunes / am",ACRE,468.751.390-57,1942-07-05,81
João Gabriel Araújo,"esplanada de castro, 4
vila nova cachoeirinha 1ª seção
69704-913 pires / mt",RORAIMA,625.904.731-25,1950-09-13,73
Sr. Nicolas Azevedo,"estrada de aragão, 1
vila barragem santa lúcia
49120-746 campos / ac",RIO DE JANEIRO,036.458.921-33,1989-01-18,35
Kamilly Caldeira,"via gabriela nascimento
madre gertrudes
45044395 nascimento do galho / ap",MATO GROSSO DO SUL,508.379.462-47,1979-07-04,44
Renan Araújo,"travessa vinicius da mata, 52
alta tensão 1ª seção
66380-981 dias do campo / ce",SÃO PAULO,186.970.354-57,1945-03-06,79
Vicente Nascimento,"largo vieira
milionario
78970057 dias / df",CEARÁ,054.921.378-32,1961-02-22,63
Isaac Rocha,"área lucas gabriel silveira, 51
anchieta
55284-530 rocha / pe",RIO DE JANEIRO,873.402.691-69,1966-11-30,57
Julia Das Neves,"jardim isabelly gomes, 23
nossa senhora de fátima
81186-838 da luz da serra / es",PARANÁ,819.402.563-05,1963-08-28,60
Breno Rodrigues,"distrito de silveira
dona clara
14225405 araújo / am",MARANHÃO,196.540.732-34,1928-10-24,95
Isabel Nogueira,"travessa ana júlia da rocha
miramar
01287083 fogaça do oeste / to",PIAUÍ,968.502.347-65,1960-10-21,63
Anthony Araújo,"avenida milena pires, 360
vila rica
71412995 pereira / ap",TOCANTINS,208.157.463-26,1985-09-07,38
Sra. Marina Da Cunha,"rodovia marcelo souza, 25
estrela
24438186 vieira / rn",AMAZONAS,067.152.389-95,1968-09-09,55
Helena Cardoso,"pátio alexandre teixeira, 243
indaiá
21474228 cavalcanti paulista / rr",PARANÁ,853.471.906-39,1972-05-29,51
Luigi Nunes,"via clara da rosa, 928
castelo
87117-636 caldeira de campos / rr",RORAIMA,593.204.186-24,1973-06-17,50
Srta. Raquel Da Costa,"estação ribeiro, 46
venda nova
45512787 silva / pb",AMAZONAS,278.534.619-09,1965-05-07,58
Sra. Ana Vitória Oliveira,"sítio de cavalcanti, 97
juliana
21342254 monteiro de campos / pa",SANTA CATARINA,120.347.586-17,1963-11-01,60
Luiza Campos,"condomínio de rodrigues, 52
conjunto providencia
93625-248 da luz / sc",TOCANTINS,974.281.306-03,1972-01-13,52
Lucca Da Paz,"rodovia vieira, 63
conjunto taquaril
85325522 pires / rn",TOCANTINS,526.980.731-95,1952-04-14,71
Nathan Da Rosa,"recanto de da conceição, 1
paraíso
52583-232 sales / am",CEARÁ,907.231.564-25,1992-11-05,31
Lívia Silveira,"setor de azevedo, 375
castanheira
56381800 teixeira das pedras / al",MATO GROSSO DO SUL,804.125.796-85,1962-11-22,61
Isabel Cavalcanti,"ladeira pietra cunha, 13
vista alegre
86652477 monteiro / pa",PARÁ,492.768.130-04,1969-05-10,54
Rafael Nunes,"vereda davi lucca barbosa, 35
estrela do oriente
38759-767 rodrigues de goiás / go",GOIÁS,285.917.604-76,1985-08-28,38
Elisa Fogaça,"rodovia ana júlia araújo, 68
vila real 2ª seção
22775-108 da mata dos dourados / pe",MARANHÃO,572.840.693-92,1928-12-13,95
Agatha Ramos,"distrito de barros, 41
suzana
54500-129 da rocha / rj",RORAIMA,948.061.752-85,2000-12-03,23
Kamilly Rocha,"feira campos, 17
cruzeiro
01967-483 ribeiro de pires / df",CEARÁ,946.031.875-48,1964-09-19,59
Antônio Das Neves,"avenida vitor hugo cardoso, 34
vila são rafael
96831280 da cunha / sc",RIO GRANDE DO SUL,435.698.712-82,1983-07-31,40
Luiz Gustavo Alves,"rodovia de souza, 63
vila nova dos milionarios
81275-813 rocha / ms",RIO GRANDE DO SUL,198.506.473-10,1978-07-08,45
Emanuella Fernandes,"residencial ian da paz, 6
padre eustáquio
41928916 fernandes de correia / pr",RONDÔNIA,097.184.263-96,1936-07-21,87
Srta. Ana Beatriz Farias,"ladeira de da paz, 98
jardim dos comerciarios
48285699 ribeiro / pe",ACRE,431.975.068-39,1961-08-07,62
Yago Monteiro,"ladeira pereira, 21
buraco quente
50425764 fogaça verde / ba",MARANHÃO,865.279.143-00,1979-06-22,44
Yasmin Gonçalves,"área barros, 46
salgado filho
98637-706 alves de goiás / ba",PARANÁ,017.459.382-14,1947-09-26,76
Bruna Nascimento,"vereda luiz felipe costa, 70
minaslandia
23088133 moraes / df",RORAIMA,132.695.407-52,1989-04-13,34
Davi Luiz Nogueira,"vila sales, 97
paquetá
59231544 da luz grande / es",PERNAMBUCO,873.045.912-50,1926-12-20,97
Ian Monteiro,"favela alana ribeiro, 318
casa branca
79179-607 barros da praia / ms",CEARÁ,324.157.968-91,1999-12-11,24
Srta. Helena Silva,"parque freitas, 82
ouro minas
59029142 lima da prata / ac",TOCANTINS,905.164.728-01,1988-11-14,35
Bárbara Novaes,"trecho bryan da cunha, 1
betânia
61163162 correia verde / pa",AMAZONAS,038.496.512-15,1935-05-24,88
Sr. Pedro Lucas Costela,"esplanada moreira
pindura saia
93675777 da cunha da mata / es",MINAS GERAIS,534.870.296-00,1993-08-24,30
Rafael Jesus,"campo de barros, 16
silveira
43534-126 duarte do galho / df",CEARÁ,673.105.482-80,2001-08-16,22
Sra. Alícia Caldeira,"distrito esther campos, 264
apolonia
13908-226 souza / pa",TOCANTINS,051.382.694-70,1934-12-04,89
Danilo Martins,"largo pires, 78
bacurau
13125523 sales verde / ap",PIAUÍ,760.389.541-39,1925-03-30,99
Sr. Gabriel Da Rosa,"campo isabelly freitas
novo santa cecilia
94562211 da mata / ce",ACRE,530.641.782-53,1974-09-10,49
